encoder,organ,perturbation,program,gpfr,ci_lo,ci_hi,p_value,n_heldout,n_slides,q_value_fdr,significant_fdr_0.05
conch,COAD,blur,angiogenesis,0.14888888888888888,0.05694760820045558,0.2574152542372881,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,blur,hypoxia,0.16333333333333333,0.1444568868980963,0.22257720979765708,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,blur,immune_activation,0.28444444444444444,0.20745920745920746,0.37273695420660274,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,blur,proliferation,0.06888888888888889,0.05793742757821553,0.1358574610244989,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,blur,stromal_ecm,0.11555555555555555,0.054871220604703244,0.1729490022172949,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,brightness,angiogenesis,0.11555555555555555,0.09234234234234234,0.15335463258785942,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,brightness,hypoxia,0.22111111111111112,0.17425968109339407,0.28634361233480177,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,brightness,immune_activation,0.07777777777777778,0.027211391052146927,0.14208826695371368,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,brightness,proliferation,0.20444444444444446,0.08826695371367062,0.37861915367483295,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,brightness,stromal_ecm,0.16777777777777778,0.1417142857142857,0.23516237402015677,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,contrast,angiogenesis,0.06888888888888889,0.035634743875278395,0.10756123535676251,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,contrast,hypoxia,0.12777777777777777,0.06605922551252848,0.2217438105489774,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,contrast,immune_activation,0.044444444444444446,0.004429678848283499,0.10441334768568353,0.005997001499250375,900,4,0.006360456135568579,True
conch,COAD,contrast,proliferation,0.09444444444444444,0.029612756264236904,0.2152619589977221,0.006496751624187906,900,4,0.00668783255431108,True
conch,COAD,contrast,stromal_ecm,0.04777777777777778,0.006644518272425249,0.09158679446219382,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,gamma,angiogenesis,0.06444444444444444,0.0334075723830735,0.10892236384704519,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,gamma,hypoxia,0.06888888888888889,0.0489749430523918,0.11927582534611289,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,gamma,immune_activation,0.012222222222222223,0.002277904328018223,0.02583423035522067,0.0029985007496251873,900,4,0.0032796101949025486,True
conch,COAD,gamma,proliferation,0.0011111111111111111,0.0,0.013437849944008958,0.13843078460769614,900,4,0.13843078460769614,False
conch,COAD,gamma,stromal_ecm,0.012222222222222223,0.0066815144766146995,0.023174971031286212,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,jpeg,angiogenesis,0.08,0.048152295632698766,0.12460063897763578,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,jpeg,hypoxia,0.3011111111111111,0.24944320712694878,0.39622641509433965,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,jpeg,immune_activation,0.11222222222222222,0.08741258741258741,0.1366181410974244,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,jpeg,proliferation,0.052222222222222225,0.03336921420882669,0.12249443207126949,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,jpeg,stromal_ecm,0.07222222222222222,0.05082872928176796,0.13714285714285715,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,scanner_color,angiogenesis,0.15666666666666668,0.10022779043280182,0.24542518837459634,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,scanner_color,hypoxia,0.62,0.5591054313099042,0.724373576309795,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,scanner_color,immune_activation,0.13777777777777778,0.0757238307349666,0.22790202342917998,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,scanner_color,proliferation,0.19333333333333333,0.14967462039045554,0.2803347280334728,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,scanner_color,stromal_ecm,0.14777777777777779,0.06423034330011074,0.2790202342917998,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,stain_shift,angiogenesis,0.08222222222222222,0.044543429844097995,0.11714589989350373,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,stain_shift,hypoxia,0.11222222222222222,0.06904231625835189,0.18396226415094338,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,stain_shift,immune_activation,0.03222222222222222,0.024433112445640923,0.043663471778487756,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,stain_shift,proliferation,0.03888888888888889,0.028199566160520606,0.05758582502768549,0.0004997501249375312,900,4,0.000564234012026245,True
conch,COAD,stain_shift,stromal_ecm,0.034444444444444444,0.015063731170336037,0.043859649122807015,0.0004997501249375312,900,4,0.000564234012026245,True
