perturbation,program,mean_embedding_l2_drift,mean_embedding_cosine_sim,mean_expr_drift,embedding_to_expr_drift_corr,gpfr_baseline,gpfr_after_linear_correction,gpfr_relative_reduction,n_train,n_heldout,ridge_alpha_selected,heldout_mean_pearson_r
brightness,immune_activation,8.502923011779785,0.9235658049583435,234.44938702702206,0.7889321899595817,0.028888888888888888,0.011111111111111112,0.6153846153846154,2100,900,100.0,0.5585048471550154
brightness,proliferation,8.502923011779785,0.9235658049583435,234.44938702702206,0.7889321899595817,0.04666666666666667,0.04,0.1428571428571429,2100,900,100.0,0.5585048471550154
brightness,hypoxia,8.502923011779785,0.9235658049583435,234.44938702702206,0.7889321899595817,0.19111111111111112,0.10777777777777778,0.436046511627907,2100,900,100.0,0.5585048471550154
brightness,stromal_ecm,8.502923011779785,0.9235658049583435,234.44938702702206,0.7889321899595817,0.03,0.021111111111111112,0.2962962962962963,2100,900,100.0,0.5585048471550154
brightness,angiogenesis,8.502923011779785,0.9235658049583435,234.44938702702206,0.7889321899595817,0.07222222222222222,0.058888888888888886,0.18461538461538463,2100,900,100.0,0.5585048471550154
contrast,immune_activation,7.836524486541748,0.9382809400558472,247.11390666057375,0.4495217765514802,0.016666666666666666,0.0077777777777777776,0.5333333333333333,2100,900,100.0,0.5585048471550154
contrast,proliferation,7.836524486541748,0.9382809400558472,247.11390666057375,0.4495217765514802,0.027777777777777776,0.024444444444444446,0.11999999999999988,2100,900,100.0,0.5585048471550154
contrast,hypoxia,7.836524486541748,0.9382809400558472,247.11390666057375,0.4495217765514802,0.15222222222222223,0.08,0.4744525547445255,2100,900,100.0,0.5585048471550154
contrast,stromal_ecm,7.836524486541748,0.9382809400558472,247.11390666057375,0.4495217765514802,0.024444444444444446,0.01888888888888889,0.2272727272727273,2100,900,100.0,0.5585048471550154
contrast,angiogenesis,7.836524486541748,0.9382809400558472,247.11390666057375,0.4495217765514802,0.12444444444444444,0.06222222222222222,0.5,2100,900,100.0,0.5585048471550154
gamma,immune_activation,5.441236972808838,0.9695574045181274,175.2704704846888,0.6420737652348054,0.0033333333333333335,0.0044444444444444444,-0.33333333333333326,2100,900,100.0,0.5585048471550154
gamma,proliferation,5.441236972808838,0.9695574045181274,175.2704704846888,0.6420737652348054,0.01888888888888889,0.017777777777777778,0.05882352941176472,2100,900,100.0,0.5585048471550154
gamma,hypoxia,5.441236972808838,0.9695574045181274,175.2704704846888,0.6420737652348054,0.05555555555555555,0.04111111111111111,0.2599999999999999,2100,900,100.0,0.5585048471550154
