encoder,organ,perturbation,program,gpfr,ci_lo,ci_hi,p_value,n_heldout,n_slides,q_value_fdr,significant_fdr_0.05
uni,IDC,blur,angiogenesis,0.011111111111111112,0.0,0.023204419889502764,0.041979010494752625,900,4,0.04591454272863568,True
uni,IDC,blur,hypoxia,0.014444444444444444,0.004555808656036446,0.04898828541001065,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,blur,immune_activation,0.0,0.0,0.0,1.0,900,4,1.0,False
uni,IDC,blur,proliferation,0.02,0.003260869565217391,0.04843918191603875,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,blur,stromal_ecm,0.0011111111111111111,0.0,0.0022271714922048997,0.44177911044477763,900,4,0.45477261369315347,False
uni,IDC,brightness,angiogenesis,0.051111111111111114,0.03547671840354767,0.07739607987888907,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,brightness,hypoxia,0.035555555555555556,0.021348314606741574,0.07403314917127071,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,brightness,immune_activation,0.0044444444444444444,0.0,0.04615485668078659,0.03648175912043978,900,4,0.041189082877915874,True
uni,IDC,brightness,proliferation,0.017777777777777778,0.012875536480686695,0.03225806451612903,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,brightness,stromal_ecm,0.013333333333333334,0.008676789587852495,0.023605150214592276,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,contrast,angiogenesis,0.07888888888888888,0.03807390817469205,0.12566560170394037,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,contrast,hypoxia,0.03222222222222222,0.009111617312072893,0.09639830508474577,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,contrast,immune_activation,0.024444444444444446,0.013259668508287293,0.11389521640091116,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,contrast,proliferation,0.011111111111111112,0.0022271714922048997,0.04434589800443459,0.005997001499250375,900,4,0.006996501749125437,True
uni,IDC,contrast,stromal_ecm,0.024444444444444446,0.009009009009009009,0.04628632938643703,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,gamma,angiogenesis,0.07222222222222222,0.01812004530011325,0.1864406779661017,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,gamma,hypoxia,0.07888888888888888,0.03644646924829157,0.17478813559322035,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,gamma,immune_activation,0.034444444444444444,0.01735357917570499,0.1548974943052392,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,gamma,proliferation,0.013333333333333334,0.0022271714922048997,0.052571428571428575,0.00399800099950025,900,4,0.0048251736200865085,True
uni,IDC,gamma,stromal_ecm,0.028888888888888888,0.016222479721900347,0.043663471778487756,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,jpeg,angiogenesis,0.07555555555555556,0.06378132118451026,0.09281767955801105,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,jpeg,hypoxia,0.1511111111111111,0.12072892938496584,0.21716101694915255,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,jpeg,immune_activation,0.26222222222222225,0.10845986984815618,0.6378132118451025,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,jpeg,proliferation,0.12777777777777777,0.05011389521640091,0.292817679558011,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,jpeg,stromal_ecm,0.03777777777777778,0.026172300981461286,0.05856353591160221,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,scanner_color,angiogenesis,0.05333333333333334,0.038238702201622246,0.08200212992545261,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,scanner_color,hypoxia,0.19777777777777777,0.13922651933701657,0.3864894795127353,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,scanner_color,immune_activation,0.1688888888888889,0.010845986984815618,0.5170842824601367,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,scanner_color,proliferation,0.05555555555555555,0.029900332225913623,0.14685314685314685,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,scanner_color,stromal_ecm,0.04888888888888889,0.028953229398663696,0.06991525423728813,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,stain_shift,angiogenesis,0.06555555555555556,0.02433371958285052,0.10939226519337017,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,stain_shift,hypoxia,0.09,0.046857142857142854,0.1782608695652174,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,stain_shift,immune_activation,0.005555555555555556,0.0,0.025755879059350503,0.059470264867566215,900,4,0.0630745233443884,False
uni,IDC,stain_shift,proliferation,0.10555555555555556,0.030042918454935622,0.23271889400921658,0.0004997501249375312,900,4,0.0006246876561719141,True
uni,IDC,stain_shift,stromal_ecm,0.04555555555555556,0.015521064301552107,0.0782608695652174,0.0004997501249375312,900,4,0.0006246876561719141,True
