encoder,organ,perturbation,program,gpfr,ci_lo,ci_hi,p_value,n_heldout,n_slides,q_value_fdr,significant_fdr_0.05
conch,IDC,blur,angiogenesis,0.11777777777777777,0.07995365005793743,0.20234291799787008,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,blur,hypoxia,0.11333333333333333,0.07289293849658314,0.18383167220376523,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,blur,immune_activation,0.013333333333333334,0.0056947608200455585,0.06605922551252848,0.004997501249375313,900,4,0.0053003801129738164,True
conch,IDC,blur,proliferation,0.09111111111111111,0.058695652173913045,0.14685314685314685,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,blur,stromal_ecm,0.03111111111111111,0.011587485515643106,0.057203389830508475,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,brightness,angiogenesis,0.07222222222222222,0.028953229398663696,0.125,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,brightness,hypoxia,0.19111111111111112,0.111358574610245,0.3142857142857143,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,brightness,immune_activation,0.028888888888888888,0.0021691973969631237,0.12818096712726082,0.0074962518740629685,900,4,0.007716729870358937,True
conch,IDC,brightness,proliferation,0.04666666666666667,0.020127118644067795,0.09907834101382489,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,brightness,stromal_ecm,0.03,0.013437849944008958,0.05375139977603583,0.0029985007496251873,900,4,0.0033854040721574695,True
conch,IDC,contrast,angiogenesis,0.12444444444444444,0.055991041433370664,0.20156774916013437,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,contrast,hypoxia,0.15222222222222223,0.0645879732739421,0.2478813559322034,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,contrast,immune_activation,0.016666666666666666,0.011956521739130435,0.04328018223234624,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,contrast,proliferation,0.027777777777777776,0.010869565217391304,0.056,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,contrast,stromal_ecm,0.024444444444444446,0.0193621867881549,0.03229278794402583,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,gamma,angiogenesis,0.08777777777777777,0.04703247480403135,0.13844515441959532,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,gamma,hypoxia,0.05555555555555555,0.01366742596810934,0.1451271186440678,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,gamma,immune_activation,0.0033333333333333335,0.0,0.00683371298405467,0.06546726636681659,900,4,0.06546726636681659,False
conch,IDC,gamma,proliferation,0.01888888888888889,0.004454342984409799,0.03991130820399113,0.00399800099950025,900,4,0.004372813593203398,True
conch,IDC,gamma,stromal_ecm,0.015555555555555555,0.007838745800671893,0.023681377825618945,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,jpeg,angiogenesis,0.07333333333333333,0.0400890868596882,0.12416851441241686,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,jpeg,hypoxia,0.18666666666666668,0.09966024915062288,0.3908413205537806,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,jpeg,immune_activation,0.01,0.007633587786259542,0.059800664451827246,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,jpeg,proliferation,0.07222222222222222,0.04935622317596566,0.11751412429378531,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,jpeg,stromal_ecm,0.12,0.07624309392265194,0.1934782608695652,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,scanner_color,angiogenesis,0.1322222222222222,0.0645879732739421,0.21951219512195122,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,scanner_color,hypoxia,0.3988888888888889,0.32882882882882886,0.5931428571428572,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,scanner_color,immune_activation,0.19111111111111112,0.04121475054229935,0.5011389521640092,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,scanner_color,proliferation,0.0811111111111111,0.04935622317596566,0.15207373271889402,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,scanner_color,stromal_ecm,0.08222222222222222,0.066815144766147,0.112,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,stain_shift,angiogenesis,0.06,0.028968713789107765,0.11182108626198083,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,stain_shift,hypoxia,0.13444444444444445,0.04783599088838269,0.2747603833865815,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,stain_shift,immune_activation,0.008888888888888889,0.0022172949002217295,0.028953229398663696,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,stain_shift,proliferation,0.09777777777777778,0.0757238307349666,0.14802981895633652,0.0004997501249375312,900,4,0.0005830418124271198,True
conch,IDC,stain_shift,stromal_ecm,0.035555555555555556,0.019698725376593278,0.05204872646733112,0.0004997501249375312,900,4,0.0005830418124271198,True
