encoder,organ,perturbation,program,gpfr
conch,COAD,scanner_color,hypoxia,0.4623333333333333
conch,COAD,scanner_color,proliferation,0.25233333333333335
conch,COAD,blur,immune_activation,0.24333333333333335
conch,COAD,scanner_color,immune_activation,0.193
conch,COAD,brightness,proliferation,0.18566666666666667
conch,COAD,blur,angiogenesis,0.18466666666666667
conch,COAD,blur,hypoxia,0.177
conch,COAD,jpeg,hypoxia,0.15
conch,COAD,brightness,hypoxia,0.14066666666666666
conch,COAD,brightness,stromal_ecm,0.12733333333333333
conch,COAD,stain_shift,hypoxia,0.11633333333333333
conch,COAD,blur,proliferation,0.11566666666666667
conch,COAD,brightness,immune_activation,0.111
conch,COAD,blur,stromal_ecm,0.099
conch,COAD,contrast,hypoxia,0.094
conch,COAD,scanner_color,angiogenesis,0.09133333333333334
conch,COAD,brightness,angiogenesis,0.088
conch,COAD,scanner_color,stromal_ecm,0.07966666666666666
conch,COAD,contrast,proliferation,0.077
conch,COAD,jpeg,angiogenesis,0.07
conch,COAD,stain_shift,angiogenesis,0.06933333333333333
conch,COAD,jpeg,immune_activation,0.067
conch,COAD,jpeg,proliferation,0.060333333333333336
conch,COAD,contrast,angiogenesis,0.054
conch,COAD,stain_shift,immune_activation,0.053
conch,COAD,contrast,immune_activation,0.050666666666666665
conch,COAD,gamma,angiogenesis,0.04733333333333333
conch,COAD,stain_shift,proliferation,0.04066666666666666
conch,COAD,gamma,hypoxia,0.035
conch,COAD,contrast,stromal_ecm,0.024333333333333332
conch,COAD,stain_shift,stromal_ecm,0.019666666666666666
conch,COAD,jpeg,stromal_ecm,0.019
conch,COAD,gamma,immune_activation,0.013333333333333334
conch,COAD,gamma,stromal_ecm,0.009
conch,COAD,gamma,proliferation,0.005666666666666667
