encoder,organ,perturbation,program,gpfr
uni,COAD,stain_shift,proliferation,0.16466666666666666
uni,COAD,scanner_color,hypoxia,0.15866666666666668
uni,COAD,jpeg,hypoxia,0.15266666666666667
uni,COAD,scanner_color,immune_activation,0.12433333333333334
uni,COAD,scanner_color,proliferation,0.122
uni,COAD,stain_shift,hypoxia,0.10766666666666666
uni,COAD,jpeg,immune_activation,0.105
uni,COAD,scanner_color,angiogenesis,0.10266666666666667
uni,COAD,jpeg,angiogenesis,0.08366666666666667
uni,COAD,jpeg,stromal_ecm,0.07933333333333334
uni,COAD,contrast,hypoxia,0.075
uni,COAD,gamma,hypoxia,0.07233333333333333
uni,COAD,brightness,hypoxia,0.06133333333333333
uni,COAD,scanner_color,stromal_ecm,0.059
uni,COAD,stain_shift,angiogenesis,0.056
uni,COAD,jpeg,proliferation,0.051
uni,COAD,gamma,angiogenesis,0.049666666666666665
uni,COAD,stain_shift,stromal_ecm,0.04933333333333333
uni,COAD,brightness,angiogenesis,0.044333333333333336
uni,COAD,stain_shift,immune_activation,0.03333333333333333
uni,COAD,brightness,proliferation,0.025666666666666667
uni,COAD,contrast,proliferation,0.013333333333333334
uni,COAD,brightness,immune_activation,0.012
uni,COAD,contrast,angiogenesis,0.011
uni,COAD,gamma,proliferation,0.009666666666666667
uni,COAD,blur,hypoxia,0.009666666666666667
uni,COAD,blur,angiogenesis,0.007333333333333333
uni,COAD,brightness,stromal_ecm,0.007333333333333333
uni,COAD,contrast,stromal_ecm,0.005333333333333333
uni,COAD,contrast,immune_activation,0.005
uni,COAD,gamma,immune_activation,0.004
uni,COAD,gamma,stromal_ecm,0.003
uni,COAD,blur,stromal_ecm,0.0013333333333333333
uni,COAD,blur,proliferation,0.0003333333333333333
uni,COAD,blur,immune_activation,0.0
