encoder,organ,perturbation,program,gpfr
conch,IDC,scanner_color,immune_activation,0.18433333333333332
conch,IDC,scanner_color,hypoxia,0.17533333333333334
conch,IDC,jpeg,stromal_ecm,0.123
conch,IDC,scanner_color,angiogenesis,0.11333333333333333
conch,IDC,scanner_color,stromal_ecm,0.111
conch,IDC,blur,angiogenesis,0.09333333333333334
conch,IDC,blur,hypoxia,0.09066666666666667
conch,IDC,jpeg,proliferation,0.08733333333333333
conch,IDC,contrast,angiogenesis,0.08533333333333333
conch,IDC,scanner_color,proliferation,0.08533333333333333
conch,IDC,jpeg,hypoxia,0.082
conch,IDC,stain_shift,stromal_ecm,0.08166666666666667
conch,IDC,brightness,stromal_ecm,0.07766666666666666
conch,IDC,stain_shift,proliferation,0.07733333333333334
conch,IDC,stain_shift,angiogenesis,0.074
conch,IDC,gamma,angiogenesis,0.07366666666666667
conch,IDC,jpeg,angiogenesis,0.06966666666666667
conch,IDC,contrast,hypoxia,0.067
conch,IDC,brightness,hypoxia,0.065
conch,IDC,brightness,angiogenesis,0.061
conch,IDC,blur,proliferation,0.06066666666666667
conch,IDC,stain_shift,hypoxia,0.05333333333333334
conch,IDC,blur,stromal_ecm,0.048666666666666664
conch,IDC,brightness,immune_activation,0.043333333333333335
conch,IDC,brightness,proliferation,0.034333333333333334
conch,IDC,contrast,stromal_ecm,0.030666666666666665
conch,IDC,contrast,proliferation,0.027333333333333334
conch,IDC,jpeg,immune_activation,0.027333333333333334
conch,IDC,gamma,hypoxia,0.027
conch,IDC,blur,immune_activation,0.025666666666666667
conch,IDC,gamma,proliferation,0.025666666666666667
conch,IDC,gamma,stromal_ecm,0.018666666666666668
conch,IDC,stain_shift,immune_activation,0.017
conch,IDC,contrast,immune_activation,0.016666666666666666
conch,IDC,gamma,immune_activation,0.005
