encoder,organ,perturbation,program,gpfr
uni,IDC,jpeg,immune_activation,0.31733333333333336
uni,IDC,scanner_color,immune_activation,0.26066666666666666
uni,IDC,jpeg,proliferation,0.194
uni,IDC,stain_shift,stromal_ecm,0.155
uni,IDC,jpeg,hypoxia,0.15166666666666667
uni,IDC,scanner_color,stromal_ecm,0.13366666666666666
uni,IDC,scanner_color,hypoxia,0.13233333333333333
uni,IDC,jpeg,angiogenesis,0.12466666666666666
uni,IDC,scanner_color,angiogenesis,0.12166666666666667
uni,IDC,contrast,angiogenesis,0.108
uni,IDC,stain_shift,proliferation,0.092
uni,IDC,stain_shift,hypoxia,0.08333333333333333
uni,IDC,brightness,angiogenesis,0.08266666666666667
uni,IDC,scanner_color,proliferation,0.07333333333333333
uni,IDC,stain_shift,angiogenesis,0.065
uni,IDC,gamma,immune_activation,0.059666666666666666
uni,IDC,jpeg,stromal_ecm,0.053
uni,IDC,gamma,angiogenesis,0.052
uni,IDC,gamma,hypoxia,0.037333333333333336
uni,IDC,gamma,proliferation,0.034666666666666665
uni,IDC,gamma,stromal_ecm,0.029
uni,IDC,blur,angiogenesis,0.027333333333333334
uni,IDC,contrast,immune_activation,0.027333333333333334
uni,IDC,brightness,hypoxia,0.024666666666666667
uni,IDC,contrast,stromal_ecm,0.023666666666666666
uni,IDC,contrast,hypoxia,0.02266666666666667
uni,IDC,blur,proliferation,0.018666666666666668
uni,IDC,brightness,proliferation,0.015666666666666666
uni,IDC,contrast,proliferation,0.014666666666666666
uni,IDC,brightness,stromal_ecm,0.009666666666666667
uni,IDC,brightness,immune_activation,0.008666666666666666
uni,IDC,stain_shift,immune_activation,0.008666666666666666
uni,IDC,blur,hypoxia,0.003
uni,IDC,blur,stromal_ecm,0.001
uni,IDC,blur,immune_activation,0.0
