encoder,organ,perturbation,program,gpfr,ci_lo,ci_hi,p_value,n_heldout,n_slides,q_value_fdr,significant_fdr_0.05
uni,IDC,blur,angiogenesis,0.027333333333333334,0.007333333333333333,0.05566666666666667,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,blur,hypoxia,0.003,0.002,0.025666666666666667,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,blur,immune_activation,0.0,0.0,0.001,0.9290354822588706,3000,4,0.9290354822588704,False
uni,IDC,blur,proliferation,0.018666666666666668,0.001,0.07266666666666667,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,blur,stromal_ecm,0.001,0.0,0.003,0.26686656671664166,3000,4,0.2747155833847782,False
uni,IDC,brightness,angiogenesis,0.08266666666666667,0.07133333333333333,0.11066666666666666,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,brightness,hypoxia,0.024666666666666667,0.021333333333333333,0.05566666666666667,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,brightness,immune_activation,0.008666666666666666,0.004,0.04733333333333151,0.004997501249375313,3000,4,0.0053003801129738164,True
uni,IDC,brightness,proliferation,0.015666666666666666,0.008333333333333333,0.035666666666666666,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,brightness,stromal_ecm,0.009666666666666667,0.005333333333333333,0.02034166666666662,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,contrast,angiogenesis,0.108,0.07,0.14,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,contrast,hypoxia,0.02266666666666667,0.015333333333333332,0.082,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,contrast,immune_activation,0.027333333333333334,0.009983333333333334,0.07466666666666667,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,contrast,proliferation,0.014666666666666666,0.0033333333333333335,0.05366666666666667,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,contrast,stromal_ecm,0.023666666666666666,0.009333333333333334,0.042666666666666665,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,gamma,angiogenesis,0.052,0.04633333333333333,0.08733333333333333,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,gamma,hypoxia,0.037333333333333336,0.03233333333333333,0.12066666666666667,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,gamma,immune_activation,0.059666666666666666,0.014,0.152,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,gamma,proliferation,0.034666666666666665,0.004666666666666667,0.11733333333333333,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,gamma,stromal_ecm,0.029,0.010666666666666666,0.04066666666666666,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,jpeg,angiogenesis,0.12466666666666666,0.08533333333333333,0.19066666666666668,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,jpeg,hypoxia,0.15166666666666667,0.13533333333333333,0.3463333333333333,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,jpeg,immune_activation,0.31733333333333336,0.106,0.63,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,jpeg,proliferation,0.194,0.012,0.44033333333333335,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,jpeg,stromal_ecm,0.053,0.028,0.076,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,scanner_color,angiogenesis,0.12166666666666667,0.09733333333333333,0.15333333333333332,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,scanner_color,hypoxia,0.13233333333333333,0.04733333333333333,0.3973333333333333,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,scanner_color,immune_activation,0.26066666666666666,0.006,0.564,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,scanner_color,proliferation,0.07333333333333333,0.026,0.22966666666666666,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,scanner_color,stromal_ecm,0.13366666666666666,0.07,0.24966666666666668,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,stain_shift,angiogenesis,0.065,0.03333333333333333,0.112,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,stain_shift,hypoxia,0.08333333333333333,0.034,0.25466666666666665,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,stain_shift,immune_activation,0.008666666666666666,0.001,0.05533333333333333,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,stain_shift,proliferation,0.092,0.016,0.23066666666666666,0.0004997501249375312,3000,4,0.0005466016991504248,True
uni,IDC,stain_shift,stromal_ecm,0.155,0.04833333333333333,0.298,0.0004997501249375312,3000,4,0.0005466016991504248,True
