encoder,organ,perturbation,program,gpfr,ci_lo,ci_hi,p_value,n_heldout,n_slides,q_value_fdr,significant_fdr_0.05
conch,IDC,blur,angiogenesis,0.09333333333333334,0.082,0.162,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,blur,hypoxia,0.09066666666666667,0.07533333333333334,0.161,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,blur,immune_activation,0.025666666666666667,0.008666666666666666,0.049699999999999814,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,blur,proliferation,0.06066666666666667,0.038,0.10133333333333333,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,blur,stromal_ecm,0.048666666666666664,0.03,0.07133333333333333,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,brightness,angiogenesis,0.061,0.03266666666666666,0.118,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,brightness,hypoxia,0.065,0.022,0.169,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,brightness,immune_activation,0.043333333333333335,0.004666666666666667,0.13887499999999706,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,brightness,proliferation,0.034333333333333334,0.018,0.07433333333333333,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,brightness,stromal_ecm,0.07766666666666666,0.026,0.16733333333333333,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,contrast,angiogenesis,0.08533333333333333,0.059666666666666666,0.12233333333333334,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,contrast,hypoxia,0.067,0.03666666666666667,0.16,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,contrast,immune_activation,0.016666666666666666,0.006666666666666667,0.051,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,contrast,proliferation,0.027333333333333334,0.012666666666666666,0.064,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,contrast,stromal_ecm,0.030666666666666665,0.013666666666666667,0.07,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,gamma,angiogenesis,0.07366666666666667,0.041666666666666664,0.10433333333333333,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,gamma,hypoxia,0.027,0.015333333333333332,0.06166666666666667,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,gamma,immune_activation,0.005,0.0,0.021666666666666667,0.057971014492753624,3000,4,0.057971014492753624,False
conch,IDC,gamma,proliferation,0.025666666666666667,0.009,0.07333333333333333,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,gamma,stromal_ecm,0.018666666666666668,0.005333333333333333,0.04033333333333333,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,jpeg,angiogenesis,0.06966666666666667,0.06566666666666666,0.08633333333333333,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,jpeg,hypoxia,0.082,0.048666666666666664,0.175,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,jpeg,immune_activation,0.027333333333333334,0.015666666666666666,0.059333333333333335,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,jpeg,proliferation,0.08733333333333333,0.04033333333333333,0.16,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,jpeg,stromal_ecm,0.123,0.066,0.21266666666666667,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,scanner_color,angiogenesis,0.11333333333333333,0.08333333333333333,0.2613333333333333,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,scanner_color,hypoxia,0.17533333333333334,0.116,0.3283333333333333,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,scanner_color,immune_activation,0.18433333333333332,0.034666666666666665,0.41933333333333334,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,scanner_color,proliferation,0.08533333333333333,0.044,0.16566666666666666,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,scanner_color,stromal_ecm,0.111,0.06666666666666667,0.199,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,stain_shift,angiogenesis,0.074,0.04133333333333333,0.101,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,stain_shift,hypoxia,0.05333333333333334,0.033,0.09066666666666667,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,stain_shift,immune_activation,0.017,0.016,0.028,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,stain_shift,proliferation,0.07733333333333334,0.016,0.16533333333333333,0.0004997501249375312,3000,4,0.0005144486580239292,True
conch,IDC,stain_shift,stromal_ecm,0.08166666666666667,0.050666666666666665,0.11333333333333333,0.0004997501249375312,3000,4,0.0005144486580239292,True
