encoder,organ,perturbation,program,gpfr,mean_ssim,mean_lpips,n_samples_pooled,n_train,n_heldout,ridge_alpha_selected,ridge_alpha_min,ridge_alpha_max,heldout_mean_pearson_r,heldout_mean_pearson_r_hallmark_genes,heldout_mean_r2,heldout_mean_r2_hallmark_genes
conch,COAD,brightness,immune_activation,0.08777777777777777,0.8756398750013775,0.1031466646430393,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.6180235411117775,0.70371418599178,0.41537394393258087,0.5217425245571358
conch,COAD,brightness,proliferation,0.16111111111111112,0.8756398750013775,0.1031466646430393,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.6180235411117775,0.70371418599178,0.41537394393258087,0.5217425245571358
conch,COAD,brightness,hypoxia,0.16444444444444445,0.8756398750013775,0.1031466646430393,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.6180235411117775,0.70371418599178,0.41537394393258087,0.5217425245571358
conch,COAD,brightness,stromal_ecm,0.09111111111111111,0.8756398750013775,0.1031466646430393,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.6180235411117775,0.70371418599178,0.41537394393258087,0.5217425245571358
conch,COAD,brightness,angiogenesis,0.12,0.8756398750013775,0.1031466646430393,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.6180235411117775,0.70371418599178,0.41537394393258087,0.5217425245571358
conch,COAD,contrast,immune_activation,0.042222222222222223,0.8958829090992609,0.06717021631283893,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.6180235411117775,0.70371418599178,0.41537394393258087,0.5217425245571358
conch,COAD,contrast,proliferation,0.08333333333333333,0.8958829090992609,0.06717021631283893,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.6180235411117775,0.70371418599178,0.41537394393258087,0.5217425245571358
conch,COAD,contrast,hypoxia,0.1688888888888889,0.8958829090992609,0.06717021631283893,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.6180235411117775,0.70371418599178,0.41537394393258087,0.5217425245571358
conch,COAD,contrast,stromal_ecm,0.06888888888888889,0.8958829090992609,0.06717021631283893,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.6180235411117775,0.70371418599178,0.41537394393258087,0.5217425245571358
conch,COAD,contrast,angiogenesis,0.09555555555555556,0.8958829090992609,0.06717021631283893,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.6180235411117775,0.70371418599178,0.41537394393258087,0.5217425245571358
conch,COAD,gamma,immune_activation,0.023333333333333334,0.8963531218634712,0.061834843158721925,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.6180235411117775,0.70371418599178,0.41537394393258087,0.5217425245571358
conch,COAD,gamma,proliferation,0.006666666666666667,0.8963531218634712,0.061834843158721925,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.6180235411117775,0.70371418599178,0.41537394393258087,0.5217425245571358
conch,COAD,gamma,hypoxia,0.11222222222222222,0.8963531218634712,0.061834843158721925,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.6180235411117775,0.70371418599178,0.41537394393258087,0.5217425245571358
conch,COAD,gamma,stromal_ecm,0.027777777777777776,0.8963531218634712,0.061834843158721925,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.6180235411117775,0.70371418599178,0.41537394393258087,0.5217425245571358
conch,COAD,gamma,angiogenesis,0.2,0.8963531218634712,0.061834843158721925,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.6180235411117775,0.70371418599178,0.41537394393258087,0.5217425245571358
conch,COAD,stain_shift,immune_activation,0.07333333333333333,0.9483464898665747,0.06038508613904317,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.6180235411117775,0.70371418599178,0.41537394393258087,0.5217425245571358
conch,COAD,stain_shift,proliferation,0.02666666666666667,0.9483464898665747,0.06038508613904317,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.6180235411117775,0.70371418599178,0.41537394393258087,0.5217425245571358
conch,COAD,stain_shift,hypoxia,0.16,0.9483464898665747,0.06038508613904317,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.6180235411117775,0.70371418599178,0.41537394393258087,0.5217425245571358
conch,COAD,stain_shift,stromal_ecm,0.03777777777777778,0.9483464898665747,0.06038508613904317,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.6180235411117775,0.70371418599178,0.41537394393258087,0.5217425245571358
conch,COAD,stain_shift,angiogenesis,0.09111111111111111,0.9483464898665747,0.06038508613904317,4,2100,900,100.0,3.1622776601683795,31622.776601683792,0.6180235411117775,0.70371418599178,0.41537394393258087,0.5217425245571358
