perturbation,program,conch_gpfr_own_sigma,uni_gpfr_own_sigma,gap_own_sigma,conch_gpfr_pooled_sigma,uni_gpfr_pooled_sigma,gap_pooled_sigma
jpeg,angiogenesis,0.07333333333333333,0.06888888888888889,-0.004444444444444445,0.07666666666666666,0.06666666666666667,-0.009999999999999995
jpeg,hypoxia,0.18666666666666668,0.15444444444444444,-0.032222222222222235,0.19333333333333333,0.1411111111111111,-0.052222222222222225
jpeg,immune_activation,0.01,0.2644444444444444,0.2544444444444444,0.013333333333333334,0.24444444444444444,0.2311111111111111
jpeg,proliferation,0.07222222222222222,0.11666666666666667,0.04444444444444445,0.09444444444444444,0.10111111111111111,0.006666666666666668
jpeg,stromal_ecm,0.12,0.05,-0.06999999999999999,0.12444444444444444,0.04666666666666667,-0.07777777777777778
scanner_color,angiogenesis,0.1322222222222222,0.058888888888888886,-0.07333333333333333,0.13777777777777778,0.05555555555555555,-0.08222222222222222
scanner_color,hypoxia,0.3988888888888889,0.17888888888888888,-0.22000000000000003,0.41555555555555557,0.16666666666666666,-0.2488888888888889
scanner_color,immune_activation,0.19111111111111112,0.1622222222222222,-0.02888888888888891,0.1988888888888889,0.15222222222222223,-0.04666666666666666
scanner_color,proliferation,0.0811111111111111,0.04888888888888889,-0.032222222222222215,0.09444444444444444,0.035555555555555556,-0.058888888888888886
scanner_color,stromal_ecm,0.08222222222222222,0.04,-0.042222222222222223,0.08888888888888889,0.03666666666666667,-0.052222222222222225
